hashtag,mediacount
#indierock,4248039.0
#punkistdasgeilste,891.0
#neverdevided,39.0
#kwl,35355.0
#5,27168343.0
#singlerelease,354640.0
#lux,7674099.0
#badbederkesa,7550.0
#gentrification,339407.0
#depression,25619976.0
#holocaust,938788.0
#VIDEO,238891974.0
#equalitymatters,225163.0
#queergartentrier,200.0
#götzwidmann,
